cytokine,environment,pbmc,time,donor,value
CXCL-9,Basal,Activated,48,2.0,317.873446539447
CXCL-9,Basal,Activated,48,3.0,617.91474218346
CXCL-9,Basal,Activated,48,4.0,617.91474218346
CXCL-9,Basal,Activated,96,1.0,4901.7970559919
CXCL-9,Basal,Activated,96,2.0,5451.94716911699
CXCL-9,Basal,Activated,96,3.0,4104.29340399645
CXCL-9,Basal,Activated,96,4.0,7595.94121785928
CXCL-9,Basal,None,24,,248.36326209288475
CXCL-9,Basal,None,48,,261.90258801288024
CXCL-9,Basal,None,96,,333.60140765961773
CXCL-9,Basal,Resting,24,1.0,1575.41380464032
CXCL-9,Basal,Resting,24,2.0,446.265763652983
CXCL-9,Basal,Resting,24,3.0,1408.3150729786
CXCL-9,Basal,Resting,24,4.0,2665.51673702438
CXCL-9,Basal,Resting,48,1.0,2424.91203014151
CXCL-9,Basal,Resting,48,2.0,5111.12847643714
CXCL-9,Basal,Resting,48,3.0,4224.24040194803
CXCL-9,Basal,Resting,48,4.0,4901.7970559919
CXCL-9,Basal,Resting,96,1.0,543.977391285453
CXCL-9,Basal,Resting,96,2.0,446.265763652983
CXCL-9,Basal,Resting,96,3.0,362.395610713018
CXCL-9,Basal,Resting,96,4.0,723.448073523197
CXCL-9,Inflammatory,Activated,24,1.0,1205.54536295904
CXCL-9,Inflammatory,Activated,24,2.0,653.740855831884
CXCL-9,Inflammatory,Activated,24,3.0,1020.89206482349
CXCL-9,Inflammatory,Activated,24,4.0,25.5519823563618
CXCL-9,Inflammatory,Activated,48,1.0,951.612547182296
CXCL-9,Inflammatory,Activated,48,2.0,2823.86552910461
CXCL-9,Inflammatory,Activated,48,3.0,1132.93154187415
CXCL-9,Inflammatory,Activated,48,4.0,1704.87305228285
CXCL-9,Inflammatory,Activated,96,1.0,1990.9918385411
CXCL-9,Inflammatory,Activated,96,2.0,1535.87880291955
CXCL-9,Inflammatory,Activated,96,3.0,1990.9918385411
CXCL-9,Inflammatory,Activated,96,4.0,3184.64128579534
CXCL-9,Inflammatory,None,24,,394.0488559020295
CXCL-9,Inflammatory,None,48,,530.8931773759444
CXCL-9,Inflammatory,None,96,,416.61904295541876
CXCL-9,Inflammatory,Resting,24,1.0,394.566529566735
CXCL-9,Inflammatory,Resting,24,2.0,351.451716874529
CXCL-9,Inflammatory,Resting,24,3.0,466.362644346027
CXCL-9,Inflammatory,Resting,24,4.0,982.610352907366
CXCL-9,Inflammatory,Resting,48,1.0,486.163115263567
CXCL-9,Inflammatory,Resting,48,2.0,505.687448215556
CXCL-9,Inflammatory,Resting,48,3.0,486.163115263567
CXCL-9,Inflammatory,Resting,48,4.0,688.899592039921
CXCL-9,Inflammatory,Resting,96,1.0,486.163115263567
CXCL-9,Inflammatory,Resting,96,2.0,466.362644346027
