time,sample,environment,condition,cell_type,dist_pct,count
48,3,Basal,Activated,A549,75,143
48,3,Basal,Activated,A549,85,183
48,3,Basal,Activated,A549,95,143
48,3,Basal,Activated,A549,105,83
48,3,Basal,Activated,A549,115,3
48,3,Basal,Activated,A549,125,0
48,3,Basal,Activated,PBMC,5,8
48,3,Basal,Activated,PBMC,15,23
48,3,Basal,Activated,PBMC,25,35
48,3,Basal,Activated,PBMC,35,58
48,3,Basal,Activated,PBMC,45,63
48,3,Basal,Activated,PBMC,55,80
48,3,Basal,Activated,PBMC,65,92
48,3,Basal,Activated,PBMC,75,95
48,3,Basal,Activated,PBMC,85,72
48,3,Basal,Activated,PBMC,95,68
48,3,Basal,Activated,PBMC,105,29
48,3,Basal,Activated,PBMC,115,3
48,3,Basal,Activated,PBMC,125,0
48,4,Inflammatory,Control,MRC5,5,2
48,4,Inflammatory,Control,MRC5,15,4
48,4,Inflammatory,Control,MRC5,25,21
48,4,Inflammatory,Control,MRC5,35,19
48,4,Inflammatory,Control,MRC5,45,21
48,4,Inflammatory,Control,MRC5,55,24
48,4,Inflammatory,Control,MRC5,65,26
48,4,Inflammatory,Control,MRC5,75,42
48,4,Inflammatory,Control,MRC5,85,37
48,4,Inflammatory,Control,MRC5,95,13
48,4,Inflammatory,Control,MRC5,105,2
48,4,Inflammatory,Control,MRC5,115,0
48,4,Inflammatory,Control,MRC5,125,0
48,4,Inflammatory,Control,A549,5,8
48,4,Inflammatory,Control,A549,15,15
48,4,Inflammatory,Control,A549,25,27
48,4,Inflammatory,Control,A549,35,45
48,4,Inflammatory,Control,A549,45,50
48,4,Inflammatory,Control,A549,55,61
48,4,Inflammatory,Control,A549,65,75
48,4,Inflammatory,Control,A549,75,91
48,4,Inflammatory,Control,A549,85,103
48,4,Inflammatory,Control,A549,95,114
48,4,Inflammatory,Control,A549,105,17
48,4,Inflammatory,Control,A549,115,0
48,4,Inflammatory,Control,A549,125,0
48,5,Inflammatory,Resting,MRC5,5,3
48,5,Inflammatory,Resting,MRC5,15,9
48,5,Inflammatory,Resting,MRC5,25,17
48,5,Inflammatory,Resting,MRC5,35,17
48,5,Inflammatory,Resting,MRC5,45,23
48,5,Inflammatory,Resting,MRC5,55,37
48,5,Inflammatory,Resting,MRC5,65,43
48,5,Inflammatory,Resting,MRC5,75,39
48,5,Inflammatory,Resting,MRC5,85,38
48,5,Inflammatory,Resting,MRC5,95,23
48,5,Inflammatory,Resting,MRC5,105,8
48,5,Inflammatory,Resting,MRC5,115,0
48,5,Inflammatory,Resting,MRC5,125,0
48,5,Inflammatory,Resting,A549,5,10
48,5,Inflammatory,Resting,A549,15,17
48,5,Inflammatory,Resting,A549,25,32
48,5,Inflammatory,Resting,A549,35,33
48,5,Inflammatory,Resting,A549,45,57
48,5,Inflammatory,Resting,A549,55,66
48,5,Inflammatory,Resting,A549,65,72
48,5,Inflammatory,Resting,A549,75,102
48,5,Inflammatory,Resting,A549,85,97
48,5,Inflammatory,Resting,A549,95,94
48,5,Inflammatory,Resting,A549,105,44
48,5,Inflammatory,Resting,A549,115,5
48,5,Inflammatory,Resting,A549,125,0
48,5,Inflammatory,Resting,PBMC,5,8
48,5,Inflammatory,Resting,PBMC,15,20
48,5,Inflammatory,Resting,PBMC,25,34
48,5,Inflammatory,Resting,PBMC,35,45
48,5,Inflammatory,Resting,PBMC,45,46
48,5,Inflammatory,Resting,PBMC,55,78
48,5,Inflammatory,Resting,PBMC,65,78
48,5,Inflammatory,Resting,PBMC,75,108
48,5,Inflammatory,Resting,PBMC,85,103
48,5,Inflammatory,Resting,PBMC,95,122
48,5,Inflammatory,Resting,PBMC,105,56
48,5,Inflammatory,Resting,PBMC,115,12
48,5,Inflammatory,Resting,PBMC,125,0
48,6,Inflammatory,Activated,MRC5,5,1
48,6,Inflammatory,Activated,MRC5,15,13
48,6,Inflammatory,Activated,MRC5,25,15
48,6,Inflammatory,Activated,MRC5,35,31
48,6,Inflammatory,Activated,MRC5,45,22
48,6,Inflammatory,Activated,MRC5,55,34
48,6,Inflammatory,Activated,MRC5,65,28
48,6,Inflammatory,Activated,MRC5,75,39
48,6,Inflammatory,Activated,MRC5,85,41
48,6,Inflammatory,Activated,MRC5,95,14
48,6,Inflammatory,Activated,MRC5,105,1
48,6,Inflammatory,Activated,MRC5,115,0
48,6,Inflammatory,Activated,MRC5,125,0
48,6,Inflammatory,Activated,A549,5,5
48,6,Inflammatory,Activated,A549,15,15
48,6,Inflammatory,Activated,A549,25,38
48,6,Inflammatory,Activated,A549,35,43
48,6,Inflammatory,Activated,A549,45,73
48,6,Inflammatory,Activated,A549,55,80
48,6,Inflammatory,Activated,A549,65,105
48,6,Inflammatory,Activated,A549,75,116
48,6,Inflammatory,Activated,A549,85,132
48,6,Inflammatory,Activated,A549,95,142
48,6,Inflammatory,Activated,A549,105,41
48,6,Inflammatory,Activated,A549,115,1
48,6,Inflammatory,Activated,A549,125,2
48,6,Inflammatory,Activated,PBMC,5,9
48,6,Inflammatory,Activated,PBMC,15,21
48,6,Inflammatory,Activated,PBMC,25,29
48,6,Inflammatory,Activated,PBMC,35,60
48,6,Inflammatory,Activated,PBMC,45,63
48,6,Inflammatory,Activated,PBMC,55,67
48,6,Inflammatory,Activated,PBMC,65,87
48,6,Inflammatory,Activated,PBMC,75,96
48,6,Inflammatory,Activated,PBMC,85,99
48,6,Inflammatory,Activated,PBMC,95,65
48,6,Inflammatory,Activated,PBMC,105,28
48,6,Inflammatory,Activated,PBMC,115,1
48,6,Inflammatory,Activated,PBMC,125,2
96,1,Basal,Control,MRC5,5,2
96,1,Basal,Control,MRC5,15,1
96,1,Basal,Control,MRC5,25,7
96,1,Basal,Control,MRC5,35,5
96,1,Basal,Control,MRC5,45,9
96,1,Basal,Control,MRC5,55,6
96,1,Basal,Control,MRC5,65,9
96,1,Basal,Control,MRC5,75,5
96,1,Basal,Control,MRC5,85,12
96,1,Basal,Control,MRC5,95,14
96,1,Basal,Control,MRC5,105,9
96,1,Basal,Control,MRC5,115,14
96,1,Basal,Control,MRC5,125,12
96,1,Basal,Control,A549,5,4
96,1,Basal,Control,A549,15,7
96,1,Basal,Control,A549,25,16
96,1,Basal,Control,A549,35,22
96,1,Basal,Control,A549,45,36
96,1,Basal,Control,A549,55,42
96,1,Basal,Control,A549,65,39
96,1,Basal,Control,A549,75,34
96,1,Basal,Control,A549,85,49
96,1,Basal,Control,A549,95,48
96,1,Basal,Control,A549,105,54
96,1,Basal,Control,A549,115,58
96,1,Basal,Control,A549,125,50
96,2,Basal,Resting,MRC5,5,4
96,2,Basal,Resting,MRC5,15,16
96,2,Basal,Resting,MRC5,25,28
96,2,Basal,Resting,MRC5,35,33
96,2,Basal,Resting,MRC5,45,56
96,2,Basal,Resting,MRC5,55,59
96,2,Basal,Resting,MRC5,65,59
96,2,Basal,Resting,MRC5,75,76
96,2,Basal,Resting,MRC5,85,80
96,2,Basal,Resting,MRC5,95,81
96,2,Basal,Resting,MRC5,105,15
96,2,Basal,Resting,MRC5,115,4
96,2,Basal,Resting,MRC5,125,2
96,2,Basal,Resting,A549,5,6
96,2,Basal,Resting,A549,15,17
96,2,Basal,Resting,A549,25,42
96,2,Basal,Resting,A549,35,42
96,2,Basal,Resting,A549,45,62
96,2,Basal,Resting,A549,55,82
96,2,Basal,Resting,A549,65,88
96,2,Basal,Resting,A549,75,91
96,2,Basal,Resting,A549,85,124
96,2,Basal,Resting,A549,95,96
96,2,Basal,Resting,A549,105,26
96,2,Basal,Resting,A549,115,4
96,2,Basal,Resting,A549,125,0
96,2,Basal,Resting,PBMC,5,4
96,2,Basal,Resting,PBMC,15,20
96,2,Basal,Resting,PBMC,25,40
96,2,Basal,Resting,PBMC,35,54
96,2,Basal,Resting,PBMC,45,62
96,2,Basal,Resting,PBMC,55,93
96,2,Basal,Resting,PBMC,65,113
96,2,Basal,Resting,PBMC,75,117
96,2,Basal,Resting,PBMC,85,127
96,2,Basal,Resting,PBMC,95,142
96,2,Basal,Resting,PBMC,105,26
96,2,Basal,Resting,PBMC,115,1
96,2,Basal,Resting,PBMC,125,2
96,3,Basal,Activated,MRC5,5,6
96,3,Basal,Activated,MRC5,15,12
96,3,Basal,Activated,MRC5,25,15
96,3,Basal,Activated,MRC5,35,21
96,3,Basal,Activated,MRC5,45,30
96,3,Basal,Activated,MRC5,55,34
96,3,Basal,Activated,MRC5,65,39
96,3,Basal,Activated,MRC5,75,45
96,3,Basal,Activated,MRC5,85,32
96,3,Basal,Activated,MRC5,95,13
96,3,Basal,Activated,MRC5,105,7
96,3,Basal,Activated,MRC5,115,0
96,3,Basal,Activated,MRC5,125,0
96,3,Basal,Activated,A549,5,6
96,3,Basal,Activated,A549,15,20
96,3,Basal,Activated,A549,25,36
96,3,Basal,Activated,A549,35,42
96,3,Basal,Activated,A549,45,62
96,3,Basal,Activated,A549,55,68
96,3,Basal,Activated,A549,65,84
96,3,Basal,Activated,A549,75,87
96,3,Basal,Activated,A549,85,109
96,3,Basal,Activated,A549,95,85
96,3,Basal,Activated,A549,105,41
96,3,Basal,Activated,A549,115,1
96,3,Basal,Activated,A549,125,0
96,3,Basal,Activated,PBMC,5,8
96,3,Basal,Activated,PBMC,15,30
96,3,Basal,Activated,PBMC,25,40
96,3,Basal,Activated,PBMC,35,57
96,3,Basal,Activated,PBMC,45,73
96,3,Basal,Activated,PBMC,55,94
96,3,Basal,Activated,PBMC,65,86
96,3,Basal,Activated,PBMC,75,93
96,3,Basal,Activated,PBMC,85,100
96,3,Basal,Activated,PBMC,95,60
96,3,Basal,Activated,PBMC,105,33
96,3,Basal,Activated,PBMC,115,2
96,3,Basal,Activated,PBMC,125,0
96,4,Inflammatory,Control,MRC5,5,3
96,4,Inflammatory,Control,MRC5,15,17
96,4,Inflammatory,Control,MRC5,25,25
96,4,Inflammatory,Control,MRC5,35,35
96,4,Inflammatory,Control,MRC5,45,55
96,4,Inflammatory,Control,MRC5,55,61
96,4,Inflammatory,Control,MRC5,65,57
96,4,Inflammatory,Control,MRC5,75,45
96,4,Inflammatory,Control,MRC5,85,22
96,4,Inflammatory,Control,MRC5,95,6
96,4,Inflammatory,Control,MRC5,105,0
96,4,Inflammatory,Control,MRC5,115,0
96,4,Inflammatory,Control,MRC5,125,0
96,4,Inflammatory,Control,A549,5,6
96,4,Inflammatory,Control,A549,15,28
96,4,Inflammatory,Control,A549,25,47
96,4,Inflammatory,Control,A549,35,67
96,4,Inflammatory,Control,A549,45,88
96,4,Inflammatory,Control,A549,55,112
96,4,Inflammatory,Control,A549,65,138
96,4,Inflammatory,Control,A549,75,141
